"","t-statistic","p-value","p-adj"
"219109_at",0.874131106666789,0.383637397370259,0.417447658403601
"223949_at",-0.856504103592192,0.39395864981796,0.428374071641546
"203815_at",0.848706518357317,0.397812436939358,0.432257516645959
"1559827_at",-0.845758922849499,0.399650023673878,0.433946231379225
"210643_at",0.830895711319641,0.407937716106713,0.442631214287298
"242126_at",0.829390360363825,0.408779221116315,0.443230161139574
"1554411_at",0.820921803463967,0.413613208380676,0.448154155718907
"203889_at",0.811329436703532,0.418662910109537,0.453304749206295
"213674_x_at",0.810673759878647,0.419248364348397,0.453617841567064
"204932_at",-0.809255535885927,0.42017228108796,0.454296442334511
"231341_at",-0.791705589072875,0.4300859087969,0.464687033428407
"229638_at",-0.790792754612296,0.430633463635326,0.464950516802316
"208025_s_at",0.787633062404667,0.432724931777394,0.466879401375046
"220177_s_at",-0.785307618288687,0.434515751991586,0.468481419928956
"209459_s_at",0.78358799053512,0.43495759507261,0.468627781883298
"227510_x_at",-0.778502657466404,0.438167202057395,0.471753858192596
"209374_s_at",0.776989783361371,0.438771288039178,0.47207227124946
"210145_at",-0.765490368032573,0.44543278914211,0.47890280911276
"210387_at",0.759252210249152,0.449456140746404,0.482889369461575
"205000_at",-0.72813888688272,0.468308608976973,0.502791360689863
"214382_at",-0.725895179957899,0.469308439319678,0.503511717307938
"209937_at",0.722640699236598,0.471936514515145,0.505976753307203
"1560263_at",0.718225422888478,0.474182270605168,0.508028730788322
"224367_at",0.717184133917108,0.47461052898388,0.508131971940084
"241716_at",0.714198417918385,0.476823343322705,0.510144331675096
"230147_at",0.713385521623213,0.477713195904108,0.510739457352786
"206700_s_at",-0.705851201762226,0.481913426197234,0.514870520242823
"229831_at",-0.704495726565738,0.482747990362391,0.515402491802525
"1558048_x_at",-0.685787277498762,0.494188188176276,0.52724886139225
"1552766_at",0.682063471171015,0.496526904433852,0.529375132791244
